V1;CORRELA_16;CORRE_9;IDOJ1;IDAIO;CIMREP;BRUTA;CONSUI;GAS;EMPAQUE;HONORA;COMISION;ARRIENDO;SEGURO;ASEO;ENERGIA;COMUNICA;PUBLICO;FLETES;PUBLICI;ADECUA;REGALA;OUTSOURCING;OTROS;SUELDOS;PRESTAC;VENTA;AGREGA;PERREMUN;SOCIOS;PERSONOM;DIRECTO;AGENCIA;APRENDIZ;TOTPERSO;PROMUJ;PROHOM;PERMUJ;PERHOM;DIRMUJ;DIRHOM;AGEMUJ;AGEHOM;APRENMUJ;APRENHOM;TOTMUJ;TOTHOM;SUEPLAN;PREPLAN;REMPLAN;COTIZA;GASAGEN;REMTEMP;TOTREM;INVINI;INVFIN;ROTACION;INVPRO;CTO;CTOINS;GASTOS;GASTOSNOP;GASTOPNOP
1010594;453;453-454;14;2019;0;1826705;518074;30;0;10081;0;50880;7975;2432;3562;6535;556;193254;3229;3470;0;0;236070;189162;70244;9550574;1308631;14;0;3;11;0;0;14;0;0;1;2;7;4;0;0;0;0;8;6;57552;38081;70233;27866,68;0;131610;229709,68;3255068;547448;7723869;1901258;7723869;7723869;8499548;548252;9396048
993253;453;453-454;14;1997;70752;2961692;395147;12;25173;31700;0;30985;8074;7131;23279;9702;7774;123392;0;46862;0;0;81063;683323;285096;9548449;2566545;27;0;0;27;0;1;28;0;0;0;0;11;16;0;0;1;0;12;16;0;167767;0;102169,24;0;670563;772732,24;1582717;1714171;6516005,043;1648444;6516005;6586757;7127845;271221;8410989
1229629;453;453-454;14;2007;440735;4612216;1429431,5;0;0;252110;0;302710;57666;52798;29938;18943;4134;95915;28130;25346;0;0;14079,5;1073869;366017;9403766,714;3182784,5;13;0;13;0;9;1;23;0;0;2;11;0;0;2;7;0;1;4;19;1069369;142761;1212130;194905,44;481358;0;1407035,44;1589809;1821259;4303678,258;1705534;4303678;4744413;5758772;476868;8169043
1890592;453;453-454;14;1998;0;3062674;1265462,5;3000;0;468474;2958;337591;34611;9967;36832;20675;10562;22116;199889;75494;0;0;43293,5;857424;344853;9402291;1797211,5;32;2;32;0;0;1;35;1;1;7;25;0;0;0;0;1;0;9;26;850677;196107;1046784;130357,28;0;0;1177141,28;966290;652547;6339617;809418,5;6339617;6339617;7778560;129363;9197821
1891522;453;453-454;14;2019;0;967143;148761;0;22150;21400;15800;36800;0;0;2850;8251;8465;25800;4250;2870;0;0;125;517850;181523;9028243;818382;29;2;29;0;0;0;31;1;1;6;23;0;0;0;0;0;0;7;24;517850;91659;609509;78177,36;0;0;687686,36;2164646;1895600;8061100;2030123;8061100;8061100;8308486;22150;9080627
1891431;453;453-454;14;2016;0;1508033;510519,5;767;0;23351;5166;256120;21978;0;42194;15767;32988;13412;0;11768;0;0;87008,5;267932;104159;9004004,902;997513,5;12;0;1;11;0;0;12;0;0;0;1;4;7;0;0;0;0;4;8;67872;57837;82690;40846,88;0;200060;323596,88;3757677;3303916;7448840;3530796,5;7448840;7448840;8109285;175973;8675908
1009032;453;453-454;14;1986;0;2771710;736246;0;0;43310;0;126000;30597;15985;9510;17219;3951;380387;140;28418;0;0;80729;518504;190950;8964880,334;2035464;18;0;18;0;0;1;19;0;0;9;9;0;0;0;0;1;0;10;9;510704;96778;607482;82101,2;0;0;689583,2;3155609;9339881;6240041;6247745;6240041;6240041;7238008;281263;8369816
1661815;453;453-454;14;2016;0;3505040;847753,5;48;0;128404;0;201592;20270;1466;15954;9818;2042;212628;159847;14480;0;0;81204,5;865143;386272;8884958,172;2657286,5;21;2;21;0;0;0;23;1;1;8;13;0;0;0;0;0;0;9;14;865143;198002;1063145;163482,16;0;0;1226627,16;1922835;4071044;5332788;2996939,5;5332788;5332788;6346204;820871;8442447
1891954;453;453-454;14;2017;0;3731422;751806;1;3300;133521;0;129000;25637;22156;17781;20857;9140;71164;13988;174313;0;12598;118350;694543;211705;8866851,908;2979616;18;0;18;0;0;1;19;0;0;6;12;0;0;0;0;0;1;6;13;694021;78838;772859;117327;0;0;890186;2399855;2446568;5088300;2423211,5;5088300;5088300;6056143;167460;7239119
1888765;453;453-454;14;1986;10177;1735381;488009;0;0;36850;96;180840;80488;3406;12302;9194;5461;22315;0;70495;0;0;66562;700597;295603;8846928,619;1247372;21;0;21;0;0;1;22;0;0;7;14;0;0;0;0;0;1;7;15;690418;159224;849642;113817,72;0;0;963459,72;1077764;686746;7148243,012;882255;7148243;7158420;7846361;256839;9185307
1010575;453;453-454;14;2011;0;3252641;465417,5;0;2343;37756;31102;7600;9487;2325;53397;14300;2880;69959;10914;167579;0;0;55775,5;665557;221666;8822721;2787223,5;25;1;21;4;0;1;27;1;0;7;14;1;3;0;0;1;0;10;17;602228;118899;711514;88711;0;55393;855618;4915140;5570080;5570080;5242610;5570080;5570080;6240718;372214;7572576
