KEYPPAL_PR|KEYPPAL|NUM_PRODUCTOR|AUTO_REC_PROD|COND_CAM_PROD_SN|FUE_CAM_PROD_SN|COMU_CAM_SN|SIT_DESPLAZ_OPA|SIT_DESPLAZ_OPB|SIT_DESPLAZ_OPC|SIT_DESPLAZ_OPD|ANIO_DESPLAZ_FOR|ANIO_DESPOJO|ANIO_ABAN_FORZ|RES_PROD_SN|COD_DPTO_RESPROD|MET_MEDICION|D_EUCLIDIANA_KM|D_GEODESICA_KM|PROD_SEX|MUJCABFAM_SN|NIVEL_ESTUD|EDAD_PROD|RAZA_PROD|DED_PROD|PROD_SEG_OPA|PROD_SEG_OPB|PROD_SEG_OPC|PROD_SEG_OPD
7384D2CE2CB4E05555655A67DD362AFE01|7384D2CE2CB4E05555655A67DD362AFE|01|2|||||||||||2|13|punto alcaldia municipal|125.420626174787|126.060130620128|1|1|6|56|6|5|||1|
7384D2CE2CB4E05556D1AB5CD91E980501|7384D2CE2CB4E05556D1AB5CD91E9805|01|2|||||||||||2|70|centroide vereda|3.63956102280077|3.64117849528039|1|1|4|55|6|6|||1|
7384D2CE2CB4E055D8794187987FD46301|7384D2CE2CB4E055D8794187987FD463|01|1|1||1||||1||||2|70|centroide vereda|3.10919780085766|3.10929208188017|1|1|6|59|6|1||1||
7384D2CE2CB4E055DC217FCDF193D60001|7384D2CE2CB4E055DC217FCDF193D600|01|2|||||||||||2|70|centroide vereda|3.21300786764322|3.21286865701834|2|1|2|50|6|1|||1|
7386207A3000B7BE0227C7B7162710DB01|7386207A3000B7BE0227C7B7162710DB|01|2|||||||||||2|11|punto alcaldia municipal|22.766510824881|22.9135628388226|1|2|6|50|6|6||||1
7386207A3000B7BE04DDB733C4B35AD501|7386207A3000B7BE04DDB733C4B35AD5|01|1|1||1|1||||2004|||1||UPA|0|0|1|1|6|66|6|1|||1|
7386207A3000B7BE18A5399F67B19D8401|7386207A3000B7BE18A5399F67B19D84|01|2|||||||||||1||UPA|0|0|1|1|6|65|6|6|||1|
7386207A3000B7BE217CF546A9D1BC7D01|7386207A3000B7BE217CF546A9D1BC7D|01|2|||||||||||2|11|punto alcaldia municipal|22.7735265879656|22.9213106614214|1|1|6|56|6|5||||1
7386207A3000B7BE2C94B656F227A88901|7386207A3000B7BE2C94B656F227A889|01|2|||||||||||2|11|punto alcaldia municipal|22.7340776149409|22.8812022910392|2|2|6|87|6|6|||1|
7386207A3000B7BE736CD0C74C26EC6F01|7386207A3000B7BE736CD0C74C26EC6F|01|2|||||||||||1||UPA|0|0|1|1|6|42|6|6||||1
7386207A3000B7BEBCF949696F167C5701|7386207A3000B7BEBCF949696F167C57|01|2|||||||||||1||UPA|0|0|1|1|6|50|6|5|||1|
7386207A3000B7BEC7497DD7908C741001|7386207A3000B7BEC7497DD7908C7410|01|1|1||1||||1||||1||UPA|0|0|1|1|1|64|6|1|||1|
7386207A3000B7BECFB3599904218C0901|7386207A3000B7BECFB3599904218C09|01|2|||||||||||2|11|punto alcaldia municipal|22.835190275524|22.9829552479496|1|2|6|67|6|5||||1
7386207A3000B7BED445151C9FABEE9601|7386207A3000B7BED445151C9FABEE96|01|1|1||1||||1||||1||UPA|0|0|1|1|6|58|6|3|||1|
7386207A3000B7BEF0E3EDF09F90509101|7386207A3000B7BEF0E3EDF09F905091|01|1|1||1||||1||||1||UPA|0|0|1|1|1|64|6|6|||1|
7386207A3000B7BEFE0892A39F46FE6C01|7386207A3000B7BEFE0892A39F46FE6C|01|2|||||||||||2|11|punto alcaldia municipal|22.9534526655846|23.1011894458159|2|1|6|74|6|6||||1
